[(1/2, 0, 1/8, 403/8), (0, 1/644, 19/112, 77375/2576), (0, 0, 1/4, 179/4), (0, 0, 0, 56)]
[(1/2, 1/2714, 9/118, 777/2714), (0, 1/1357, 9/59, 777/1357), (0, 0, 1/2, 5/2), (0, 0, 0, 59)]
[(1/2, 0, 12, 1/2), (0, 1/1104, 805/48, 41/46), (0, 0, 24, 0), (0, 0, 0, 1)]
[(1/2, 0, 0, 5/2), (0, 1/690, 17/6, 49/115), (0, 0, 3, 0), (0, 0, 0, 5)]
[(1/2, 1/1518, 41/66, 5779/506), (0, 1/759, 65/132, 20839/1012), (0, 0, 3/4, 9/4), (0, 0, 0, 22)]
[(1/2, 1/966, 5/42, 535/322), (0, 1/483, 5/21, 535/161), (0, 0, 3/2, 3/2), (0, 0, 0, 7)]
[(1/2, 0, 1/8, 45/8), (0, 1/460, 3/16, 16149/1840), (0, 0, 1/4, 45/4), (0, 0, 0, 40)]
[(1/2, 1/1334, 9/58, 68949/1334), (0, 1/667, 7/116, 28339/2668), (0, 0, 1/4, 139/4), (0, 0, 0, 58)]
[(1/2, 1/1610, 16/35, 26436/805), (0, 1/805, 29/70, 1899/1610), (0, 0, 1/2, 59/2), (0, 0, 0, 35)]
[(1/2, 1/598, 9/52, 12709/1196), (0, 1/299, 5/52, 7777/1196), (0, 0, 1/4, 59/4), (0, 0, 0, 26)]
[(1/2, 0, 3/8, 103/8), (0, 1/690, 7/120, 4831/920), (0, 0, 3/4, 23/4), (0, 0, 0, 20)]
[(1/2, 0, 1/8, 115/8), (0, 1/322, 9/56, 22957/1288), (0, 0, 1/4, 3/4), (0, 0, 0, 28)]
[(1/2, 1/2070, 67/90, 163/230), (0, 1/1035, 67/45, 163/115), (0, 0, 9/2, 1/2), (0, 0, 0, 5)]
[(1/2, 0, 1/8, 45/8), (0, 1/598, 21/104, 65783/2392), (0, 0, 1/4, 45/4), (0, 0, 0, 52)]
[(1/2, 1/690, 19/60, 357/460), (0, 1/345, 19/30, 357/230), (0, 0, 3/4, 33/4), (0, 0, 0, 10)]
[(1/2, 0, 0, 11/2), (0, 1/1518, 157/66, 2004/253), (0, 0, 3, 2), (0, 0, 0, 11)]
[(1/2, 1/1518, 35/132, 4083/1012), (0, 1/759, 35/66, 4083/506), (0, 0, 3/4, 87/4), (0, 0, 0, 22)]
[(1/2, 0, 1/8, 275/8), (0, 1/460, 1/16, 19001/1840), (0, 0, 1/4, 115/4), (0, 0, 0, 40)]
[(1/2, 1/1518, 16/33, 1820/253), (0, 1/759, 32/33, 857/253), (0, 0, 3/2, 21/2), (0, 0, 0, 11)]
[(1/2, 0, 0, 5/2), (0, 1/690, 1/6, 26/115), (0, 0, 3, 0), (0, 0, 0, 5)]
[(1/2, 1/2162, 33/94, 33023/2162), (0, 1/1081, 19/94, 21725/2162), (0, 0, 1/2, 41/2), (0, 0, 0, 47)]
[(1/2, 0, 1/8, 307/8), (0, 1/782, 25/136, 127101/3128), (0, 0, 1/4, 35/4), (0, 0, 0, 68)]
[(1/2, 1/2162, 10/47, 11509/1081), (0, 1/1081, 20/47, 23018/1081), (0, 0, 1/2, 33/2), (0, 0, 0, 47)]
[(1/2, 1/1242, 109/108, 1177/276), (0, 1/621, 109/54, 349/138), (0, 0, 9/4, 11/4), (0, 0, 0, 6)]
[(1/2, 0, 0, 25/2), (0, 1/1150, 13/50, 6541/575), (0, 0, 1, 16), (0, 0, 0, 25)]
[(1/2, 1/1426, 7/124, 132125/2852), (0, 1/713, 7/62, 43713/1426), (0, 0, 1/4, 101/4), (0, 0, 0, 62)]
